Event Name,Date,Location,Time
No Bad Energy - #1NYC :Afrobeats -Dancehall- Amapiano & MoreFriday • 10:00 PM + 2 moreLoft 51Save this event: No Bad Energy - #1NYC :Afrobeats -Dancehall- Amapiano & More,N/A,N/A,N/A
PromotedB.O.W (BUMPERS ON WATER)Friday • 10:00 PMBrooklyn Army TerminalSave this event: B.O.W (BUMPERS ON WATER),N/A,N/A,N/A
Warm Up: Frankie Bones / Kiki Kudo / Word of Command / DreamcrusherFriday • 5:00 PMMoMA PS1Save this event: Warm Up: Frankie Bones / Kiki Kudo / Word of Command / Dreamcrusher,N/A,N/A,N/A
The Art of Low Demand Parenting: ScreensToday • 7:30 PM GMT+1Save this event: The Art of Low Demand Parenting: Screens,N/A,N/A,N/A
CARIBBEAN FRIDAYS  AURA COCINAFriday • 10:00 PM + 77 moreAURA COCINASave this event: CARIBBEAN FRIDAYS  AURA COCINA,N/A,N/A,N/A
Free Drinks caribbean thursdays katraThursday • 5:00 PMKatraSave this event: Free Drinks caribbean thursdays katra,N/A,N/A,N/A
The Brooklyn Pancakes & Booze Art ShowThursday • 7:00 PM9 Bob NoteSave this event: The Brooklyn Pancakes & Booze Art Show,N/A,N/A,N/A
"NYC Finance, Investment & Tech Professional Network (Sponsored By Aartha)Tomorrow • 6:00 PMTRYP by Wyndham New York City Times Square SouthSave this event: NYC Finance, Investment & Tech Professional Network (Sponsored By Aartha)",N/A,N/A,N/A
"The 12th Annual NYC Poetry FestivalSat, Jul 29 •  11:00 AM Colonels RowSave this event: The 12th Annual NYC Poetry Festival",N/A,N/A,N/A
Bryant Park Yoga: Wednesday Evening Classes 2023Tomorrow • 6:00 PM + 10 moreBryant ParkSave this event: Bryant Park Yoga: Wednesday Evening Classes 2023,N/A,N/A,N/A
7/19* “Ditch Day” PHL - “Summer Time” PART 2Tomorrow • 11:00 AMCavanaugh's River DeckSave this event: 7/19* “Ditch Day” PHL - “Summer Time” PART 2,N/A,N/A,N/A
